{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 153, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 43, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6320173537157874, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.020046931684215792, 'epochs': 3, 'batch_size': 32, 'loss': 1.0453568775177002, 'fitness': 2.0, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 160, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 40, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6320173537157874, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.015806740529543863, 'epochs': 3, 'batch_size': 32, 'loss': 1.0542526947021484, 'fitness': 1.8571428571428572, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 151, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 42, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6599541350938929, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.020280410342938485, 'epochs': 3, 'batch_size': 32, 'loss': 1.0364904991149901, 'fitness': 2.0, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 161, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 43, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6654462718103943, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.01810991382919573, 'epochs': 3, 'batch_size': 32, 'loss': 1.0406027399063111, 'fitness': 1.9487179487179487, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.max_pooling: 2>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 153, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 42, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6411736793119108, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.020280410342938485, 'epochs': 3, 'batch_size': 32, 'loss': 1.0469694303512573, 'fitness': 1.8974358974358974, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 157, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 38, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6320926382137819, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.01832125700498375, 'epochs': 3, 'batch_size': 32, 'loss': 1.072237947845459, 'fitness': 1.8461538461538463, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 151, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 42, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6698694460947703, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.020280410342938485, 'epochs': 3, 'batch_size': 32, 'loss': 1.0768613174438477, 'fitness': 1.794871794871795, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 161, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 42, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6653015055473678, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.01810991382919573, 'epochs': 3, 'batch_size': 32, 'loss': 1.087334843635559, 'fitness': 1.7435897435897436, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 159, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 27, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6320173537157874, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.019600156176761183, 'epochs': 3, 'batch_size': 32, 'loss': 1.0877728008270264, 'fitness': 1.6923076923076923, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 161, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 42, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6698694460947703, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.01810991382919573, 'epochs': 3, 'batch_size': 32, 'loss': 1.0916400510787965, 'fitness': 1.641025641025641, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 155, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 27, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.650766600229485, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.019600156176761183, 'epochs': 3, 'batch_size': 32, 'loss': 1.094143172931671, 'fitness': 1.5897435897435896, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 153, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 42, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6553861945464904, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.01810991382919573, 'epochs': 3, 'batch_size': 32, 'loss': 1.0942864158630372, 'fitness': 1.5384615384615385, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 157, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 43, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6698694460947703, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.019833634835483876, 'epochs': 3, 'batch_size': 32, 'loss': 1.1043353498458863, 'fitness': 1.4871794871794872, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 154, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 31, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6320173537157874, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.0198460426652151, 'epochs': 3, 'batch_size': 32, 'loss': 1.1049888919830322, 'fitness': 1.435897435897436, 'convulation_act': <ActivationType.relu: 'relu'>}
{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 154, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 42, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6553861945464904, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.018126815859537446, 'epochs': 3, 'batch_size': 32, 'loss': 1.108458618927002, 'fitness': 1.3846153846153846, 'convulation_act': <ActivationType.relu: 'relu'>}


{'convulution_kernel_size': 2, 'convulution_act': <ActivationType.relu: 'relu'>, 'pooling_layer_type': <PoolingTypes.avg_pooling: 1>, 'pooling_layer_kernel_size': 2, 'first_dense_layer_neurons': 151, 'first_dense_act': <ActivationType.relu: 'relu'>, 'second_dense_layer_neurons': 42, 'second_dense_act': <ActivationType.softmax: 'softmax'>, 'dropout_rate': 0.6599541350938929, 'optimizer_type': <OptimizerType.sgd: 2>, 'learning_rate': 0.020280410342938485, 'epochs': 3, 'batch_size': 32, 'loss': 1.0364904991149901, 'fitness': 2.0, 'convulation_act': <ActivationType.relu: 'relu'>}
